epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
55,292.694,0.41008,0.40006,0.26351,0.00279,0.08548,0.96271,0.9113,0.96251,0.86345,0.96893,0.91718,0.96393,0.85799,0.53876,0.52102,0.38617,0.00475,0,0.0009308,0.0009308,0.0009308
56,297.791,0.41887,0.40241,0.25043,0.00282,0.06216,0.96831,0.89871,0.94389,0.86213,0.96831,0.89871,0.94739,0.85516,0.50469,0.63855,0.41962,0.00413,0,0.000911,0.000911,0.000911
57,302.898,0.41869,0.41562,0.26689,0.00293,0.0866,0.9868,0.87059,0.94632,0.85672,0.99347,0.87647,0.96518,0.8996,0.52504,0.59669,0.39887,0.00474,0,0.0008912,0.0008912,0.0008912
58,308.027,0.43082,0.40494,0.2634,0.00301,0.06975,0.95078,0.90907,0.9444,0.87352,0.95692,0.91462,0.9525,0.87744,0.47627,0.5638,0.42657,0.00393,0,0.0008714,0.0008714,0.0008714
59,313.131,0.39535,0.3564,0.24938,0.00278,0.13176,0.9576,0.93007,0.94972,0.85178,0.96363,0.93514,0.96141,0.85732,0.56159,0.52716,0.39531,0.00483,0,0.0008516,0.0008516,0.0008516
60,318.269,0.43364,0.41965,0.27226,0.00306,0.06414,0.96134,0.8777,0.94195,0.88105,0.96777,0.8832,0.95423,0.85568,0.47126,0.53989,0.42044,0.00389,0,0.0008318,0.0008318,0.0008318
61,323.437,0.40601,0.37772,0.2564,0.00283,0.07212,0.95634,0.90204,0.94536,0.8684,0.95634,0.90204,0.95059,0.86419,0.49432,0.54985,0.4357,0.00416,0,0.000812,0.000812,0.000812
62,328.645,0.37432,0.37619,0.24459,0.00255,0.06943,0.99139,0.88235,0.95458,0.89497,0.99139,0.88235,0.95933,0.8892,0.42389,0.49535,0.38612,0.00342,0,0.0007922,0.0007922,0.0007922
63,333.784,0.38581,0.36101,0.2357,0.00278,0.07147,0.95721,0.9212,0.94938,0.9006,0.95721,0.9212,0.95865,0.86383,0.42798,0.53955,0.35224,0.00332,0,0.0007724,0.0007724,0.0007724
64,338.943,0.41943,0.41695,0.28073,0.00296,0.10136,0.97289,0.92353,0.95448,0.89149,0.97908,0.92941,0.96482,0.88763,0.47207,0.51536,0.32281,0.00411,0,0.0007526,0.0007526,0.0007526
65,344.137,0.41114,0.39782,0.2733,0.00292,0.07722,0.94077,0.93425,0.95342,0.86841,0.94669,0.94013,0.9584,0.87534,0.51812,0.54917,0.34462,0.0047,0,0.0007328,0.0007328,0.0007328
66,349.284,0.37899,0.36126,0.24121,0.0027,0.06997,0.98109,0.91578,0.95088,0.89236,0.98575,0.91765,0.96646,0.87282,0.45091,0.52812,0.33646,0.00361,0,0.000713,0.000713,0.000713
67,354.437,0.3765,0.36427,0.22459,0.00261,0.07651,0.96428,0.91765,0.94805,0.87948,0.98118,0.92001,0.96188,0.87077,0.43118,0.53343,0.38094,0.00346,0,0.0006932,0.0006932,0.0006932
68,359.59,0.40052,0.41564,0.23633,0.00279,0.08652,0.96083,0.93529,0.95243,0.8968,0.96083,0.93529,0.96049,0.88977,0.4302,0.52929,0.35108,0.00376,0,0.0006734,0.0006734,0.0006734
69,364.736,0.37348,0.33817,0.23536,0.00261,0.07042,0.98757,0.93501,0.95008,0.89456,0.99379,0.94089,0.96636,0.88667,0.46561,0.52915,0.33614,0.00405,0,0.0006536,0.0006536,0.0006536
70,369.865,0.38187,0.36285,0.2209,0.00256,0.05792,0.97146,0.92941,0.95109,0.90325,0.98376,0.94118,0.96588,0.87767,0.43297,0.48951,0.32638,0.00361,0,0.0006338,0.0006338,0.0006338
71,374.927,0.36236,0.33235,0.22257,0.00261,0.08145,0.97476,0.90861,0.94976,0.90589,0.98107,0.91449,0.95899,0.88393,0.40069,0.49071,0.34365,0.00325,0,0.000614,0.000614,0.000614
72,380.118,0.35068,0.35242,0.20887,0.00238,0.07874,0.96328,0.92591,0.94807,0.9029,0.97669,0.92353,0.9574,0.88081,0.39545,0.53248,0.36343,0.00321,0,0.0005942,0.0005942,0.0005942
73,385.225,0.35101,0.32942,0.20604,0.0024,0.06662,0.96724,0.92353,0.94841,0.90182,0.97956,0.93529,0.96175,0.88372,0.4029,0.51104,0.33823,0.00332,0,0.0005744,0.0005744,0.0005744
74,390.261,0.35953,0.35117,0.20911,0.00251,0.08317,0.96335,0.92777,0.94672,0.89796,0.96335,0.92777,0.95448,0.86954,0.40759,0.52004,0.36982,0.00325,0,0.0005546,0.0005546,0.0005546
75,395.386,0.36408,0.34329,0.2294,0.00253,0.0726,0.96334,0.92742,0.94862,0.89923,0.96334,0.92742,0.95614,0.88052,0.40383,0.52425,0.37857,0.00314,0,0.0005348,0.0005348,0.0005348
